Neighborhood,Community area
Schorsch Village,Dunning
Scottsdale,Ashburn
Sheffield Neighbors,Lincoln Park
Sheridan Park,Uptown
Sheridan Station Corridor,Lakeview
Sleepy Hollow,Garfield Ridge
Smith Park,West Town
South Austin,Austin
South Chicago,South Chicago
South Commons,Douglas
South Deering,South Deering
South East Ravenswood,Lake View
South Edgebrook,Forest Glen
South Lawndale,South Lawndale
South Loop,The Loop
South Shore,South Shore
Stateway Gardens,Douglas
Stony Island Park,Avalon Park
Streeterville,Near North Side
Talley's Corner,Mount Greenwood
Tri-Taylor,Near West Side
Ukrainian Village,West Town
Union Ridge,Norwood Park
University Village,Near West Side
Uptown,Uptown
The Villa,Irving Park
Vittum Park,Garfield Ridge
Wacławowo,Avondale
Washington Heights,Washington Heights
Washington Park,Washington Park
Wentworth Gardens,Armour Square
West Beverly,Beverly
West Chatham,Chatham
West Chesterfield,"Chatham, Roseland"
West DePaul,Lincoln Park
West Elsdon,West Elsdon
West Englewood,West Englewood
West Garfield Park,West Garfield Park
West Humboldt Park,"Austin, Humboldt Park"
West Lakeview,Lake View
West Lawn,West Lawn
West Loop,Near West Side
West Morgan Park,Morgan Park
West Pullman,West Pullman
West Ridge,West Ridge
West Rogers Park,West Ridge
West Town,West Town
West Woodlawn,Woodlawn
Wicker Park,West Town
Wildwood,Forest Glen
Woodlawn,Woodlawn
Wrightwood,Ashburn
Wrightwood Neighbors,Lincoln Park
Wrigleyville,Lake View
